u,t_0,t_01,t_02,t_03,t_04,t_05,t_06
8.5,2.2276006162588293e-12,2.224984989592381e-12,2.222376076116137e-12,2.2197742237058286e-12,2.2171791482408215e-12,2.2145900327608038e-12,2.2120083082121064e-12
9.0,2.182484715241387e-12,2.1799816418342292e-12,2.1774848336779014e-12,2.174994481007259e-12,2.172510562218595e-12,2.1700329459957696e-12,2.1675617038422566e-12
9.5,2.1467116797424813e-12,2.144296359469919e-12,2.1418867614082404e-12,2.139483256937643e-12,2.137085831676234e-12,2.1346944822285902e-12,2.1323091326325423e-12
10.0,2.118593116163458e-12,2.1162450684673144e-12,2.113902875840966e-12,2.1115665311779067e-12,2.1092360341971613e-12,2.106911382857438e-12,2.1045923478246727e-12
10.5,2.0967087423801652e-12,2.0944121499320898e-12,2.0921214732735935e-12,2.089836472868141e-12,2.0875579047673198e-12,2.085283786420294e-12,2.0830164164252734e-12
11.0,2.079860207476425e-12,2.0776036507412007e-12,2.075352697814426e-12,2.0731073975747706e-12,2.0708675072193188e-12,2.0686330924336004e-12,2.0664041589641132e-12
11.5,2.0670443769766896e-12,2.0648183980935744e-12,2.062597181331553e-12,2.060381666304142e-12,2.0581712961776996e-12,2.055966263485929e-12,2.0537666277605082e-12
12.0,2.057421238132635e-12,2.0552167512312643e-12,2.053017797588749e-12,2.0508239185352642e-12,2.04863553957104e-12,2.046452478719056e-12,2.044274717004703e-12
12.5,2.050290728784465e-12,2.0481026975741734e-12,2.0459185318696326e-12,2.0437425859775828e-12,2.041570474877087e-12,2.039403590442983e-12,2.037241937723496e-12
13.0,2.0450827422696345e-12,2.0429067097959538e-12,2.040735715216974e-12,2.038570191796378e-12,2.0364098394947785e-12,2.034254678536176e-12,2.0321047413369735e-12
13.5,2.0413342085985753e-12,2.0391667574255953e-12,2.0370044554611676e-12,2.0348472649912006e-12,2.0326953284747193e-12,2.0305485918670003e-12,2.0284070408267477e-12
14.0,2.0386767632446105e-12,2.0365146839597127e-12,2.0343575935305078e-12,2.0322058947238126e-12,2.030061648267038e-12,2.0279208779852147e-12,2.025785259976135e-12
14.5,2.036820270573101e-12,2.034662324230322e-12,2.0325109980290632e-12,2.030364041032889e-12,2.0282222578199677e-12,2.0260855149762744e-12,2.0239539806159993e-12
15.0,2.0355456018216097e-12,2.0333906764982192e-12,2.031241875885729e-12,2.029097796993821e-12,2.0269588590849023e-12,2.0248251104896215e-12,2.022696431121223e-12
15.5,2.0346812691959712e-12,2.032528824791412e-12,2.030381529150781e-12,2.0282387221063553e-12,2.026102253143338e-12,2.0239704785993752e-12,2.0218437282629136e-12
16.0,2.034109020979679e-12,2.0319577978280556e-12,2.0298117391208443e-12,2.0276708638296105e-12,2.0255351695783197e-12,2.023404555788626e-12,2.0212790834051772e-12
16.5,2.033732993784278e-12,2.0315826059235494e-12,2.0294373597845615e-12,2.0272973532551017e-12,2.0251624817469637e-12,2.023032727725598e-12,2.0209080706603648e-12
17.0,2.0334912630855126e-12,2.031340821414051e-12,2.0291960999950164e-12,2.0269763089158924e-12,2.024922216984922e-12,2.0227929719972037e-12,2.0206689239145087e-12
17.5,2.0333362042244406e-12,2.031186507508517e-12,2.029100435385262e-12,2.026961134790635e-12,2.024827907326164e-12,2.022641890617944e-12,2.020518098596994e-12
18.0,2.033240971235437e-12,2.0310916854511473e-12,2.0289476102431076e-12,2.026808683273588e-12,2.0246748814366915e-12,2.022546239197584e-12,2.0204226747986905e-12
18.5,2.033182500499663e-12,2.0310332421610015e-12,2.0288892920846868e-12,2.0267509754172805e-12,2.024617371750257e-12,2.022488833997119e-12,2.0203653017647683e-12
19.0,2.0331470341814503e-12,2.0309978047961952e-12,2.0288540284745525e-12,2.026715285352647e-12,2.024581696211944e-12,2.0224533270520946e-12,2.020330163552271e-12
19.5,2.0331258961514884e-12,2.0309766301714605e-12,2.028832828495712e-12,2.0266943494479755e-12,2.0245608031359593e-12,2.0224323765064704e-12,2.0203091012108343e-12
20.0,2.033114878472823e-12,2.0309662980387972e-12,2.0288224680117658e-12,2.0266834489332763e-12,2.024549965976428e-12,2.022421686325234e-12,2.02029853887189e-12
20.5,2.033108510858032e-12,2.0309595318661546e-12,2.0288156857934353e-12,2.02667555518599e-12,2.024542040998986e-12,2.0224138135126208e-12,2.020290514674168e-12
21.0,2.033102298300103e-12,2.030953294439701e-12,2.0288094733446854e-12,2.026670792447437e-12,2.0245372528986535e-12,2.0224089641368744e-12,2.0202857838044737e-12
21.5,2.03310013617108e-12,2.030952871543173e-12,2.028809022597935e-12,2.0266703327509086e-12,2.02453512550641e-12,2.0224072057012455e-12,2.0202839105073314e-12
22.0,2.0330981923868797e-12,2.0309490442477273e-12,2.028805360034337e-12,2.0266667528167205e-12,2.024533337488831e-12,2.022404932792149e-12,2.0202823768955507e-12
22.5,2.033098362302242e-12,2.030949361459259e-12,2.0288055695808114e-12,2.0266669948953616e-12,2.0245329280216424e-12,2.0224045752334323e-12,2.020281324140895e-12
23.0,2.033098441981053e-12,2.0309494021852775e-12,2.0288056985663224e-12,2.026667041892712e-12,2.0245333971492044e-12,2.0224050361948104e-12,2.0202817813038548e-12
23.5,2.0330990125052972e-12,2.03095001942381e-12,2.0288056682879532e-12,2.0266670997384044e-12,2.0245335948165063e-12,2.0224052326627327e-12,2.0202819773976948e-12
24.0,2.033098497862386e-12,2.0309493947306155e-12,2.028805662776563e-12,2.0266670801178943e-12,2.0245336408472426e-12,2.0224052923964627e-12,2.020281555800717e-12
24.5,2.0330975479606477e-12,2.0309485365318214e-12,2.028804689976434e-12,2.0266659935681703e-12,2.0245332805216607e-12,2.0224048186787325e-12,2.020277164106384e-12
25.0,2.0330980798539e-12,2.030949096964377e-12,2.0288053586812406e-12,2.0266667082603136e-12,2.0245332001883717e-12,2.022404733625098e-12,2.0202814309903733e-12
