r,xf_0,xf_3,xf_6,xf_9,xf_12,xf_15
-3.5,0.09787501033375176,0.07677187838166726,0.06157476860008327,0.05050212067300969,0.04226350745256923,0.036085941365721505
-3.2,0.09342669569985441,0.07399209994957733,0.05982733359813321,0.04937510583175981,0.041532539547524935,0.03553849634627481
-2.9,0.08893859110944828,0.07113264332761551,0.05799660421464183,0.0481873323259182,0.040735878170573676,0.0349794251212756
-2.6,0.08442862009614777,0.06820358011343582,0.05609659621439068,0.046933138250909515,0.03988633211101556,0.03438783817872383
-2.3,0.0799100132046387,0.0652258108672775,0.05411517228937084,0.045606019101653426,0.038988701544288136,0.03376710316464715
-2.0,0.07548253757627744,0.062216289116089646,0.05205650904661473,0.044196936834368136,0.038006543462545464,0.03307293428499615
-1.7,0.07111613097532943,0.05919524453220964,0.049961965746485454,0.04271779856148763,0.03695998458543768,0.03232345597238751
-1.4,0.06685214146326905,0.05617818185693395,0.047813076264046794,0.04116323248931463,0.03584297488153039,0.031507290521859285
-1.1,0.06271100680725601,0.05318497779310227,0.04563789502486054,0.039576406560230815,0.034659886819487104,0.03062576247145394
-0.8,0.058710499727632516,0.05023422752524281,0.04344051242668369,0.037928212831693627,0.03341787228301555,0.029680533591490605
-0.5,0.0548647938060258,0.04734130707880166,0.0412470825920432,0.036255959718696565,0.032127281798521146,0.028677849124277805
-0.2,0.05118331528842101,0.04452140551710335,0.03906598012806371,0.03455719897237868,0.03079386461051947,0.027624500822707607
0.1,0.04767414530080119,0.0417822237296477,0.03691292398993441,0.03285059868376246,0.029431009169855624,0.02652884722505325
0.4,0.044360559486953596,0.03913789601687096,0.03479736579822254,0.03114725543516956,0.02804913976409321,0.025399884247350783
0.7,0.04118392475857698,0.03659478921823983,0.03273268954566362,0.029456593773152087,0.026656050762783417,0.024244462239712994
1.0,0.0382039322623972,0.03415478521087248,0.030726837029957998,0.027793903664143776,0.025268460045385216,0.023079457397098817
1.3,0.035393480600829016,0.03182658476349043,0.028785531005560947,0.026162734801059347,0.023889411080333663,0.021906643408820287
1.6,0.032764434182106505,0.0296185770695386,0.0269152236092679,0.02457241003983399,0.022529319241281997,0.020736884596805363
1.9,0.030290033210342474,0.02751750591921235,0.025120063126388013,0.02302928464252058,0.02119544345724403,0.019577886030863394
2.2,0.027965723052374998,0.025528569694487427,0.0234010336171858,0.02153809151021147,0.019894474030686175,0.018436828124534618
2.5,0.025797483262414145,0.023649771957297023,0.021765573709493058,0.02010151612415448,0.01863298119556077,0.01731830692535283
2.8,0.023772118440137376,0.021878568939321524,0.020208037352678884,0.01872725618362495,0.017408301453247215,0.01622858567482783
3.1,0.02188187726263169,0.020210652887937802,0.01872929139179925,0.01741008986109798,0.016229337530014053,0.015169894208011746
3.4,0.020122496611881684,0.018645814900007492,0.017330536160997924,0.016156333850454997,0.015101043870026063,0.014150038730194854
3.7,0.01848023071266971,0.017175748970611044,0.016009693879242656,0.01496285998645614,0.014019696619390709,0.013166149449515812
4.0,0.01695130025161416,0.01579809052579014,0.014763107771279057,0.013830711829081672,0.012987648771146037,0.01222259365522823
4.3,0.01552815142531089,0.014508058569513838,0.013589378208575276,0.01275893545205679,0.012005740449497293,0.01132025230811451
4.6,0.014204279665612357,0.013301506042740658,0.012485838738726638,0.011746367738409194,0.011073653400274648,0.011812465455466624
4.9,0.012971850493289982,0.012174242622072201,0.011449881848245306,0.010791176240677668,0.010190787324280404,0.00964153754965748
5.2,0.011828629210776735,0.011121611780773942,0.010478154759546754,0.009892124778260729,0.009355981623012967,0.008843442665199928
5.5,0.010766120086761007,0.010139638735574613,0.009569482164494571,0.009047384558055725,0.00856964038258405,0.008130716811805296
5.8,0.009780007487631515,0.009225287381544189,0.008718559158352238,0.00825588577108848,0.007829143490479168,0.007437461634090625
6.1,0.008865542840222743,0.008374285373325213,0.007925021781184288,0.0075128257840154184,0.007134869353919411,0.006784212897400028
6.4,0.008018207155254217,0.007583828669969627,0.0071854718549030396,0.006819516206923932,0.00648233497259623,0.006172216623864413
6.7,0.007234301705230606,0.006850325144622108,0.006497648653720751,0.006173109518466694,0.0058737106461902305,0.005596766359874898
7.0,0.006510192967157464,0.006172799530792792,0.00586252405584689,0.005576435448611223,0.005305634680911171,0.005059734459559535
7.3,0.005842459504944312,0.005543118107789502,0.005267099204936362,0.005012731847944975,0.004777509574039968,0.004559513701286028
7.6,0.005227362254242074,0.004963358846199997,0.004720554646929785,0.004495570155948648,0.004287670843441487,0.004094762952253324
7.9,0.00466215524647586,0.004430037872559924,0.004215929901264198,0.004018019075103049,0.0038346428830389368,0.0036643619194354432
8.2,0.0041715918591874275,0.003940461528597328,0.003752371106394312,0.0035783927664000863,0.0034170344206827545,0.003267887271309052
